ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
NVDA,2021,Jan,322.1458,4.5980,16.6750,0.6234,0.2718,,0.5273,12.9526
NVDA,2022,Jan,573.2840,10.2620,26.9140,0.6493,0.3731,0.3021,0.6140,22.7946
NVDA,2023,Jan,503.0155,2.3430,26.9740,0.5693,0.1566,0.1412,0.0022,20.3435
NVDA,2024,Jan,1525.7750,16.2750,60.9220,0.7272,0.5412,0.4435,1.2585,60.9937
NVDA,2025,Jan,3479.9279,34.7470,130.4970,0.7499,0.6242,0.4663,1.1420,142.5733
NVDA,2026,Jan,4560.3810,2.1370,215.9380,0.7107,0.6038,0.4477,0.6547,187.6598
PTON,2018,Jun,,0.1516,0.4350,0.4359,-0.1092,0.0499,,
PTON,2019,Jun,,0.1621,0.9150,0.4192,-0.2211,-0.2094,1.1034,
PTON,2020,Jun,12.7644,1.0355,1.8259,0.4582,-0.0443,0.1205,0.9955,57.7700
PTON,2021,Jun,36.4486,0.3050,4.0218,0.3610,-0.0467,-0.1195,1.2026,124.0200
PTON,2022,Jun,2.9593,0.3824,3.5821,0.1950,-0.7632,-0.6581,-0.1093,9.1800
PTON,2023,Jun,2.6659,-0.1816,2.8002,0.3298,-0.4275,-0.1678,-0.2183,7.6900
PTON,2024,Jun,1.2355,-0.8514,2.7005,0.4468,-0.1959,-0.0318,-0.0356,3.3800
PTON,2025,Jun,2.7069,-0.4995,2.4908,0.5092,-0.0145,0.1300,-0.0777,6.9400
ROKU,2015,Dec,,0.0000,0.3199,0.2807,-0.1174,-0.1176,,
